time (UTC),ZAX (METERS),latitude (degrees_north),longitude (degrees_east),S_ANALYZED (PSU),S_MEAN (PSU),S_STDEV (psu),S_RMSE (PSU),S_ROIOBS (PSU),S_BOXOBS (PSU),T_ANALYZED (degs),T_MEAN (degs),T_STDEV (degs),T_RMSE (degs),T_ROIOBS,T_BOXOBS
2026-07-30T00:00:00Z,5.0,5.5,50.5,35.294,NaN,0.0,0.0,1.0,0.0,24.567,NaN,0.0,0.0,1.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,51.5,35.294,NaN,0.0,0.0,1.0,0.0,24.567,NaN,0.0,0.0,1.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,52.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-30T00:00:00Z,5.0,5.5,53.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-30T00:00:00Z,5.0,5.5,54.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-30T00:00:00Z,5.0,5.5,55.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-30T00:00:00Z,5.0,5.5,56.5,35.679,NaN,0.0,0.0,1.0,0.0,28.441,NaN,0.0,0.0,1.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,57.5,35.679,NaN,0.231,0.327,2.0,0.0,28.441,NaN,0.047,0.066,2.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,58.5,35.679,NaN,0.231,0.327,2.0,0.0,28.441,NaN,0.047,0.066,2.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,59.5,35.68,NaN,0.231,0.326,2.0,0.0,28.441,NaN,0.047,0.066,2.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,60.5,35.683,NaN,0.231,0.324,2.0,0.0,28.442,NaN,0.047,0.066,2.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,61.5,35.701,NaN,0.231,0.312,2.0,0.0,28.445,NaN,0.047,0.063,2.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,62.5,35.758,NaN,0.176,0.303,3.0,0.0,29.296,NaN,0.336,0.444,3.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,63.5,35.757,NaN,0.18,0.253,2.0,0.0,29.297,NaN,0.056,0.078,2.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,64.5,35.756,35.756,0.18,0.254,2.0,1.0,29.297,29.297,0.056,0.078,2.0,1.0
2026-07-30T00:00:00Z,5.0,5.5,65.5,35.745,35.756,0.45,0.495,4.0,1.0,29.303,29.297,0.169,0.198,4.0,1.0
2026-07-30T00:00:00Z,5.0,5.5,66.5,35.351,NaN,0.442,0.451,7.0,0.0,29.505,NaN,0.241,0.254,7.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,67.5,35.155,35.142,0.442,0.528,7.0,2.0,29.596,29.57,0.241,0.242,7.0,2.0
2026-07-30T00:00:00Z,5.0,5.5,68.5,35.064,34.9,0.334,0.364,6.0,1.0,29.701,29.587,0.151,0.164,6.0,1.0
2026-07-30T00:00:00Z,5.0,5.5,69.5,35.036,35.035,0.334,0.376,6.0,1.0,29.8,29.821,0.151,0.155,6.0,1.0
2026-07-30T00:00:00Z,5.0,5.5,70.5,35.025,NaN,0.359,0.375,7.0,0.0,29.905,NaN,0.143,0.192,7.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,71.5,35.02,NaN,0.396,0.412,5.0,0.0,29.987,NaN,0.067,0.144,5.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,72.5,35.014,NaN,0.136,0.224,3.0,0.0,29.99,NaN,0.205,0.293,3.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,73.5,34.87,NaN,0.136,0.14,3.0,0.0,29.661,NaN,0.205,0.238,3.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,74.5,34.807,NaN,0.06,0.085,2.0,0.0,29.503,NaN,0.174,0.245,2.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,75.5,34.807,NaN,0.06,0.085,2.0,0.0,29.503,NaN,0.174,0.245,2.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,76.5,34.807,NaN,0.0,0.0,1.0,0.0,29.503,NaN,0.0,0.0,1.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,77.5,34.807,NaN,0.0,0.0,1.0,0.0,29.503,NaN,0.0,0.0,1.0,0.0
2026-07-30T00:00:00Z,5.0,5.5,78.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-30T00:00:00Z,5.0,6.5,50.5,35.294,NaN,0.0,0.0,1.0,0.0,24.567,NaN,0.0,0.0,1.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,51.5,35.294,NaN,0.0,0.0,1.0,0.0,24.567,NaN,0.0,0.0,1.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,52.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-30T00:00:00Z,5.0,6.5,53.5,35.423,NaN,0.0,0.0,1.0,0.0,26.608,NaN,0.0,0.0,1.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,54.5,35.423,NaN,0.0,0.0,1.0,0.0,26.608,NaN,0.0,0.0,1.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,55.5,35.423,NaN,0.0,0.0,1.0,0.0,26.608,NaN,0.0,0.0,1.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,56.5,35.46,NaN,0.128,0.157,2.0,0.0,26.874,NaN,0.917,1.124,2.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,57.5,35.675,NaN,0.297,0.306,3.0,0.0,28.373,NaN,0.887,1.024,3.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,58.5,35.713,NaN,0.324,0.356,4.0,0.0,28.447,NaN,0.808,0.921,4.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,59.5,35.845,NaN,0.234,0.328,4.0,0.0,28.472,NaN,0.063,0.07,4.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,60.5,36.101,NaN,0.234,0.236,4.0,0.0,28.483,NaN,0.063,0.075,4.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,61.5,36.199,NaN,0.234,0.265,4.0,0.0,28.442,NaN,0.063,0.063,4.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,62.5,36.074,NaN,0.181,0.182,5.0,0.0,28.738,NaN,0.397,0.397,5.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,63.5,35.808,NaN,0.201,0.345,4.0,0.0,29.279,NaN,0.425,0.626,4.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,64.5,35.787,NaN,0.219,0.343,3.0,0.0,29.288,NaN,0.419,0.54,3.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,65.5,35.763,NaN,0.45,0.503,4.0,0.0,29.297,NaN,0.169,0.201,4.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,66.5,35.368,NaN,0.442,0.448,7.0,0.0,29.498,NaN,0.241,0.256,7.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,67.5,35.19,NaN,0.442,0.51,7.0,0.0,29.588,NaN,0.241,0.241,7.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,68.5,35.077,NaN,0.334,0.359,6.0,0.0,29.699,NaN,0.151,0.165,6.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,69.5,35.035,35.878,0.334,0.377,6.0,1.0,29.802,29.823,0.151,0.156,6.0,1.0
2026-07-30T00:00:00Z,5.0,6.5,70.5,35.031,NaN,0.334,0.378,6.0,0.0,29.832,NaN,0.151,0.166,6.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,71.5,35.174,NaN,0.367,0.373,4.0,0.0,29.943,NaN,0.075,0.11,4.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,72.5,34.967,NaN,0.104,0.118,2.0,0.0,29.878,NaN,0.245,0.277,2.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,73.5,34.808,NaN,0.104,0.147,2.0,0.0,29.505,NaN,0.245,0.344,2.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,74.5,34.807,NaN,0.0,0.0,1.0,0.0,29.503,NaN,0.0,0.0,1.0,0.0
2026-07-30T00:00:00Z,5.0,6.5,75.5,34.807,NaN,0.0,0.0,1.0,0.0,29.503,NaN,0.0,0.0,1.0,0.0
