lat,long,date,temp,salinity,depth,dissolvedOxygen,sensorId
15.1200,73.0500,2026-03-04T06:00:00Z,28.4,35.21,18.0,5.8,INCOIS-BUOY-GOA-01
14.6100,73.4100,2026-03-05T07:30:00Z,29.1,35.44,24.0,5.4,ARGO-WIO-AS-14
16.2200,72.3800,2026-03-06T05:45:00Z,30.6,36.00,12.0,4.7,INCOIS-BUOY-MH-07
13.8800,74.2100,2026-03-07T08:10:00Z,27.2,34.82,31.0,6.3,NIOT-GLIDER-KAR-03
12.0400,75.1100,2026-03-08T06:20:00Z,26.4,34.51,42.0,6.6,CMFRI-CTD-KER-11
9.9700,76.1800,2026-03-09T09:00:00Z,25.8,34.20,55.0,6.9,INCOIS-BUOY-KOCHI-02
18.9400,72.6200,2026-03-10T05:15:00Z,30.2,35.88,15.0,4.9,ARGO-WIO-MB-09
11.2500,79.8500,2026-03-11T06:40:00Z,28.9,34.96,22.0,5.6,INCOIS-BUOY-TN-04
13.2800,80.3400,2026-03-12T07:05:00Z,29.4,35.10,19.0,5.3,CMFRI-CTD-CHN-08
17.6900,83.3200,2026-03-13T05:50:00Z,27.8,34.70,36.0,6.1,NIOT-GLIDER-VZ-12
19.8000,85.8400,2026-03-14T08:25:00Z,26.1,34.33,48.0,6.7,INCOIS-BUOY-OD-06
15.4800,81.1200,2026-03-15T06:10:00Z,28.1,35.02,27.0,5.9,ARGO-WIO-BoB-21
8.4200,77.9800,2026-03-16T09:35:00Z,24.6,34.05,72.0,7.3,CMFRI-CTD-TN-19
10.7600,72.1900,2026-03-17T05:20:00Z,27.0,34.61,40.0,6.4,INCOIS-BUOY-LKD-03
14.0200,87.4100,2026-03-18T07:45:00Z,25.2,34.18,88.0,7.1,ARGO-WIO-BoB-33
19.2100,69.1500,2026-03-19T06:00:00Z,31.0,35.95,10.5,4.5,INCOIS-BUOY-KUTCH-02
12.8800,68.4200,2026-03-20T08:00:00Z,29.7,35.62,21.0,5.1,NIOT-GLIDER-AS-18
16.5500,82.2400,2026-03-21T05:30:00Z,28.6,34.88,33.0,5.7,CMFRI-CTD-AP-07
