accession,scientificName,class,target_gene,sequence_length_bp,locality,title,database_source
NC_704926,Pampus argenteus,Actinopterygii,CYTB,1049,Indian Ocean,"Pampus argenteus voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR568129.1,Pempheris rhomboidea,Actinopterygii,16S rRNA,524,Indian Ocean,"Pempheris rhomboidea voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR781349.1,Mobula alfredi,Elasmobranchii,12S rRNA,416,Laccadive Sea,"Mobula alfredi voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR768586.1,Carcharhinus limbatus,Elasmobranchii,COI,679,Red Sea,"Carcharhinus limbatus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR347598.1,Scomberomorus commerson,Actinopterygii,16S rRNA,526,Indian Ocean,"Scomberomorus commerson voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR118562.1,Pampus argenteus,Actinopterygii,12S rRNA,425,Indian Ocean,"Pampus argenteus voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR580419.1,Chaetodon pictus,Actinopterygii,COI,606,Gulf of Oman,"Chaetodon pictus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR690162.1,Carcharhinus limbatus,Elasmobranchii,12S rRNA,399,Red Sea,"Carcharhinus limbatus voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR449391.1,Carcharhinus limbatus,Elasmobranchii,COI,661,Gulf of Oman,"Carcharhinus limbatus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR839529.1,Katsuwonus pelamis,Actinopterygii,COI,656,Laccadive Sea,"Katsuwonus pelamis voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_435520,Scomberomorus commerson,Actinopterygii,Control Region,986,Red Sea,"Scomberomorus commerson voucher specimen from Red Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR276256.1,Thunnus albacares,Actinopterygii,Control Region,818,Bay of Bengal,"Thunnus albacares voucher specimen from Bay of Bengal Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR108519.1,Sarda orientalis,Actinopterygii,COI,680,Gulf of Oman,"Sarda orientalis voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR334460.1,Carcharhinus falciformis,Elasmobranchii,12S rRNA,353,Gulf of Oman,"Carcharhinus falciformis voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR715723.1,Lutjanus argentimaculatus,Actinopterygii,16S rRNA,540,Bay of Bengal,"Lutjanus argentimaculatus voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR955457.1,Sarda orientalis,Actinopterygii,12S rRNA,367,Red Sea,"Sarda orientalis voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
